order_9e36b|2|ticket_2|2|PAID|1780911040488|QR_f0502457|true
order_0ddda|2|ticket_1|1|EXPIRED|1780911040491|NO_QR|false
order_944ea|2|ticket_2|1|EXPIRED|1781166322925|NO_QR|false
order_d2e30|3|ticket_1|1|EXPIRED|1781166654239|NO_QR|false
order_01c73|4|ticket_1|1|PAID|1781166846685|QR_BA1637|true
order_fd1a6|5|ticket_1|1|PAID|1781167145297|QR_F60F99|true
order_b53e3;3;ticket_3;5;PAID;1781167805453;QR_9D7355;false
order_875c9;GUEST;ticket_3;15;PAID;1781167841375;QR_F681B5;false
order_208b2;5;ticket_3;2;PAID;1781168232655;QR_9CAC47;false
order_ab2aa;6;ticket_3;18;PAID;1781168574742;QR_7D4B5F;false
order_4abd6;peikgm@gmail.com;ticket_1;test1;обычный;50;PAID;1781266598029;QR_8B6C11;false
order_1781319978391_7884;lerfkjb@;ticket_1;test_1;VIP/Обычный;0;PAID;1781319978392;1001;false
order_1781320617631_5126;evj@gmail.com;ticket_3_usual;test3;Обычный;50;PAID;1781320617633;1001;false
order_1781320623881_9866;evj@gmail.com;ticket_3_vip;test3;VIP;25;PAID;1781320623881;1002;false
order_1781321012940_824;peigvj@gmail.com;event_1;ljjedrnfv;USUAL;2;PAID;1781321012944;1001;false
order_1781321197155_8832;EJB@gmail.com;event_1;ljjedrnfv;USUAL;3;PAID;1781321197160;ZEY3S;false
order_1781321285162_6057;ERvbhn@gmail.com;event_1;ljjedrnfv;USUAL;4;PAID;1781321285165;187WE;false
order_1781321313335_4378;ERvbhn@gmail.com;event_1;ljjedrnfv;USUAL;41;PAID;1781321313335;NFP3B;false
order_1781321376363_7365;wpqeibvh@gmail.com;event_1;test4;VIP;1;PAID;1781321376363;0XJT1;false
order_1781321444500_9268;уjbve@gmail.com;event_1;test4;USUAL;3;PAID;1781321444500;9Z8TG;false
order_1781321639736_7049;rewvj@gmail.com;event_1;test4;USUAL;3;PAID;1781321639740;N56BI;false
order_1781321671781_9150;epkbnjejbn@gmail.com;event_1;test4;VIP;1;PAID;1781321671781;TY06N;false
order_1781321847243_8004;rewvj@gmail.com;event_1;test4;USUAL;2;PAID;1781321847247;EZ318;true
order_1781321888814_8909;test1Person@mail.ru;event_1;test4;VIP;1;PAID;1781321888814;PEO9U;true
order_1781321990293_1388;test1Person@mail.ru;event_2;lolokk;VIP;5;PAID;1781321990293;HKEFE;true
order_1781322146801_8926;ve@gmail.com;event_2;lolokk;VIP;10;PAID;1781322146801;DYVQD;false
order_1781322455803_4518;test1Person@mail.ru;event_1;test4;USUAL;2;PAID;1781322455806;UX46H;true
